URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_THICKNESS,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,ENGINE,WATER_RESISTANCE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,DEPARTMENT,CATEGORY,CROWN
https://www.jomashop.com/vacheron-watch-82020-000g-9924.html,"$64,860.00",Original Box,40 mm,7.5 mm,18kt White Gold,Round,,Alligator Leather,Strap,Black,,Skeleton,Analog,Scratch Resistant Sapphire,Black-toned Alpha-style shape,Roman Numeral,Minute Markers around the outer rim,Fixed,,18kt White Gold,Vacheron Constantin,Metiers d'Art,Mens,82020/000G-9924,Swiss Made,Hand Wind,Vacheron Constantin Calibre 4400 SQ,30 meters / 100 feet,,"Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather",Luxury,2 Year Jomashop Warranty,VC82020000G-9924,Watches,Watches,
https://www.jomashop.com/hublot-big-bang-unico-sapphire-automatic-crystal-mens-watch-441-jx-4802-rt.html,"$57,495.00",Original Box,42 mm,,Polished Sapphire,Round,,Transparent Structured Lined,,,Deployant,Polished Transparent Composite Resin Skeleton,Analog,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,,Fixed,,Polished Sapphire Crystal with 6 H-shaped Titanium,Hublot,Big Bang Unico Sapphire,Mens,441.JX.4802.RT,Swiss Made,Automatic,Hublot Calibre HUB1280,50 meters / 165 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Titanium, Analog",Luxury,2 Year Jomashop Warranty,HB441JX4802RT,Watches,Watches,
https://www.jomashop.com/piaget-watch-g0a38162.html,"$41,890.00",Original Box,32 mm,7.4 mm,18Kt White Gold Set with 62 Diamonds,Round,,Satin,Strap,Black,Tang,Diamond-set,Analog,Scratch Resistant Sapphire,Silver-tone,Index,,Fixed White Gold Set with Diiamond,,,Piaget,Limelight Gala,Womens,G0A38162,Swiss Made,Quartz,Piaget Calibre 690P,30 meters / 100 feet,,"Hour, Minute","Analog, Gold, Diamond",Luxury,2 Year Jomashop Warranty,PG-GOA38162,Watches,Watches,
https://www.jomashop.com/piaget-blacktie-goa33062.html,"$18,890.00",Original Box,41 mm,,18kt Rose Gold,Rectangle,,Alligator Leather,Strap,Brown,Fold Over,Sun Burst,Analog,Scratch Resistant Sapphire,Gold-tone,Index,Minute Markers around the outer rim,Fixed,,18kt Rose Gold,Piaget,Black Tie,Mens,G0A33062,Swiss Made,Automatic,Piaget Calibre 561P,30 meters / 100 feet,Date display at the 6 o'clock position,"Hour, Minute, Small Second, Power Reserve Indicator","Alligator Leather, Analog, Power Reserve Indicator, Gold, Leather",Luxury,2 Year Jomashop Warranty,PG-GOA33062,Watches,Watches,
https://www.jomashop.com/vacheron-watch-82020000g-9926.html,"$64,860.00",Original Box,40 mm,7.5 mm,18kt White Gold,Round,Transparent (See Through),Alligator Leather,Strap,Black,,Skeleton,Analog,Scratch Resistant Sapphire,Skeleton Alpha-style shape,Roman Numeral,Minute Markers around the outer rim,Fixed,,18kt White Gold,Vacheron Constantin,Metiers d'Art,Mens,82020/000G-9926,Swiss Made,Hand Wind,Vacheron Constantin Calibre 4400 SQ,30 meters / 100 feet,,"Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather",Luxury,2 Year Jomashop Warranty,VC82020000G-9926,Watches,Watches,Pull / Push
https://www.jomashop.com/jaeger-lecoultre-250-81-20.html,"$6,725.00",Original Box,23 mm,,Stainless Steel,Rectangle,,Stainless Steel,Bracelet,Silver-tone,,White,Analog,Scratch Resistant Sapphire,Blue Spade-shaped,BlackArabic Numeral,Minute Scale around the inner rim,Fixed,Silver-tone,Stainless Steel,Jaeger LeCoultre,LeCoultre,Mens,250.81.20,Swiss Made,Hand Wind,,30 meters / 100 feet,,"Hour, Minute","Analog, Stainless Steel",Luxury,2 Year Jomashop Warranty,JLC-Q2508120,Watches,Watches,Pull / Push
https://www.jomashop.com/rolex-sky-dweller-automatic-chronometer-18-kt-yellow-gold-white-dial-mens-watch-326238wsr.html,"$47,725.00",Original Box,42 mm,,18kt Yellow Gold,Round,Solid,Oysterflex Rubber,Strap,Black,Oysterlock,White,Analog,Scratch Resistant Sapphire,,Index,,Bi-directional Rotating,,,Rolex,Sky Dweller,Mens,326238WSR,Swiss Made,Automatic,Rolex Calibre 9001,100 meters / 330 feet,Date display at the 3 o'clock position,"Annual Calendar, Month, Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer","Month, Analog, GMT, Annual Calendar, Chronometer, Gold, Rubber, Time Zone",Luxury,2 Year Jomashop Warranty,RLX326238WSR,Watches,Watches,Screw Down
https://www.jomashop.com/jaeger-lecoultre-watch-q1456480.html,"$24,245.00",Original Box,38 mm,6.3 mm,Platinum,Round,,Leather,Strap,Blue,Tang,Blue,Analog,Scratch Resistant Sapphire,White Dauphine-style shape,Index,,Fixed,White,Platinum,Jaeger LeCoultre,Master Control Ultra Thin,Mens,Q1456480,Swiss Made,Hand Wind,Jaeger LeCoultre Calibre JLC 849,50 meters / 165 feet,,"Hour, Minute","Platinum, Analog, Leather",Luxury,2 Year Jomashop Warranty,JLC-Q1456480,Watches,Watches,
https://www.jomashop.com/jaeger-lecoultre-watch-q189cc70.html,"$10,335.00",Original Box,39 mm,,Stainless Steel,Round,,Stainless Steel,Bracelet,Black PVD,Deployment,Black,Analog,Scratch Resistant Sapphire,Luminous,Index,Minute Markers around the outer rim,Uni-Directional Rotating,Black,Diamond Set,Jaeger LeCoultre,Master Compressor,Womens,Q189CC70,Swiss Made,Automatic,Jaeger LeCoultre Calibre JLC 971D,100 meters / 330 feet,Date display at the 3 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, GMT, Stainless Steel, Chronograph, Diamond",Luxury,2 Year Jomashop Warranty,JLC-Q189CC70,Watches,Watches,
https://www.jomashop.com/jaeger-lecoultre-watch-q3742421.html,"$19,855.00",Original Box,30 mm,10.2 mm,18kt Rose Gold,Rectangle,Solid,Alligator Leather,Strap,Black,Deployment with Push Button Release,Silver guilloche and black,Analog,Scratch Resistant Sapphire,Blue and luminous,Arabic Numeral,Minute Markers around an inner ring,Fixed,,18kt Rose Gold,Jaeger LeCoultre,Grande Reverso Duo,Mens,Q3742421,Swiss Made,Hand Wind,Jaeger LeCoultre Calibre JLC 986,30 meters / 100 feet,Date display at the 12 o'clock position,"GMT, Second Time Zone, Hour, Minute, Small Second, Day/Night Indicator","Day/Night Indicator, Alligator Leather, Analog, GMT, Gold, Leather, Time Zone",Luxury,2 Year Jomashop Warranty,JLC-Q3742421,Watches,Watches,
